message_id,message_text,category,urgency,channel,student_type,created_hour
MSG-00022,There is no hot water in my dorm and the work order is still pending.,housing,high,web_form,graduate,21
MSG-00023,I uploaded FAFSA documents but the portal still says incomplete. today if possible.,financial_aid,medium,chat,online,12
MSG-00024,i cannot register for bio 101 because there is a hold on my account.,registration,medium,web_form,international,14
MSG-00025,I want to change majors and need to know the next step.,academic_advising,medium,web_form,international,7
MSG-00026,I cannot register for MATH 220 because there is a hold on y account.,registration,low,web_form,undergraduate,18
MSG-00027,i need to request housing accommodation documentation review.,housing,low,chat,graduate,14
MSG-00028,"Hi, I am not sure who to contact about this question.",general,high,chat,international,2
MSG-00029,"Hi team, need help asap I already checked the student portal and could not find a clear answer.???",academic_advising,medium,chat,international,5
MSG-00030,"i am not sure which requirement math 220 satisfies for my major. also, the credits page is confusing.",academic_advising,high,email,international,21
MSG-00031,I am not sure which requirement ENG 201 satisfies for my major.,academic_advising,low,web_form,international,19
MSG-00032,I am worried about a student who said they might hurt themselves. pls,health_wellness,medium,email,international,8
MSG-00033,"I need to request housing accommodation documentation review. Also, the dorm page is confusing. pls",housing,medium,web_form,graduate,9
MSG-00034,I cannot access email from my phone after the security update.,technical_support,medium,web_form,online,8
MSG-00035,"Hi team, I cannot access email from my phone after teh security update. I already checked teh student portal and could not find a clear answer. thx",technical_support,high,email,international,15
MSG-00036,"i am not sure which requirement eng 201 satisfies for my major. also, the overload page is confusing.",academic_advising,low,chat,graduate,16
MSG-00037,I need to request housing accommodation documentation review.???,housing,high,email,undergraduate,13
MSG-00038,need help asap,housing,medium,web_form,graduate,20
MSG-00039,"Can someone explain why my scholarship disappeared from the bill? Also, the payment page is confusing.",financial_aid,low,email,undergraduate,13
MSG-00040,need help asap,technical_support,medium,chat,undergraduate,15
MSG-00041,My roommate assignment changed and I never received an explanation.,housing,low,web_form,undergraduate,21
MSG-00042,"Hi team, I need an appointment because I have been feeling overwhelmed all week. I am stuck. I already checked the student portal and could not find a clear answer. :/",health_wellness,medium,web_form,graduate,9
MSG-00043,I am not sure which requirement MATH 220 satisfies for my major. I am stuck.,academic_advising,medium,email,online,6
MSG-00044,Can you point me to the right office for a campus policy issue?,general,low,web_form,online,11
MSG-00045,"Can I move rooms because the noise is affecting my sleep? Also, the move-in page is confusing.",housing,medium,web_form,graduate,15
MSG-00046,I have a question about student servics and could use guidance. when you have time.,general,low,chat,online,10
MSG-00047,"The portal shows an error code when I try to submit teh form. Also, teh login page is confusing.???",technical_support,high,email,undergraduate,10
MSG-00048,"Hi team, I tested positive and need to know what to do about attendance. I already checked the student portal and could not find a clear answer.",health_wellness,medium,email,online,20
MSG-00049,I cannot register for CS 150 because there is a hold on my account.,registration,low,chat,undergraduate,7
MSG-00050,I need to request housing accommodation documentation review. when yu have time.,housing,low,email,international,7
MSG-00051,"Hi team, The learning platform will not load my quiz and it is due tomorrow. soon. I already checked the student portal and could not find a clear answer.",technical_support,medium,chat,international,5
MSG-00052,My schedule has the wrong lab section and I need it fixed. right now.,registration,high,chat,undergraduate,8
MSG-00053,I need approval for an overload because this is my final semester.,academic_advising,low,web_form,international,20
MSG-00054,"My roommate assignment changed and I never received an explanation. Also, the dorm page is confusing.",housing,low,chat,undergraduate,15
MSG-00055,I need approval for an overload because this is my final semester. emergency. pls,academic_advising,high,email,online,2
MSG-00056,My campus login keeps failing even after I reset my password. before Friday.,technical_support,medium,web_form,undergraduate,8
MSG-00057,need help asap,health_wellness,low,chat,online,11
MSG-00058,can an advisor check whether i am on track to graduate? next eek is fine. :/,academic_advising,low,email,international,19
MSG-00059,I cannot access email from my phone after the security update. I am stuck.,technical_support,medium,email,online,10
MSG-00060,"I need an appointent because I have been feeling overwhelmed all week. Also, teh urgent care page is confusing.",health_wellness,medium,email,international,21
MSG-00061,"Hi team, I need help setting up a payment plan before classes start. Also, the scholarship page is confusing. today if possible. I already checked the student portal and could not find a clear answer.",financial_aid,medium,chat,graduate,13
MSG-00062,"I need an appointment because I have been feeling overwhelmed all week Also, the health page is confusing!!",health_wellness,high,web_form,graduate,12
MSG-00063,help,housing,low,email,international,13
MSG-00064,confused about this thx,financial_aid,medium,email,graduate,12
MSG-00065,"I need approval for an overload because this is my final semester. Also, the graduation page is confusing.!!",academic_advising,low,email,online,22
MSG-00066,"Hi, I am not sure wo to contact about this question. Also, the policy page is confusing.",general,low,chat,graduate,7
MSG-00067,Can someone explain why my scholarship disappeared from the bill?,financial_aid,low,chat,international,4
MSG-00068,confused about this,housing,low,web_form,undergraduate,14
MSG-00069,Can you point me to the right office for a campus olicy issue?,general,medium,email,international,11
MSG-00070,"I have a question about student services and could use guidance. Also, the question page is confusing.!!",general,low,email,international,9
MSG-00071,Please let me know where this request should go.,general,medium,chat,international,0
MSG-00072,There is no hot water in my dorm and the work order is still pending. not urgent.,housing,low,web_form,graduate,19
MSG-00073,There is no hot water in my dorm and the work order is still pending.,housing,low,chat,graduate,11
MSG-00074,The portal shows an error code whenI try to submit the form.,technical_support,medium,web_form,undergraduate,9
MSG-00075,I need help setting up a payment plan before classes start just checking,financial_aid,low,email,undergraduate,10
MSG-00076,I have a question about student services and could use guidance.???,general,medium,web_form,online,3
MSG-00077,I need an appointment because I have been feeling overwhelmed all week,health_wellness,low,chat,graduate,18
MSG-00078,"Hi team, My roommate assignment changed and I never received an explanation I already checked the studet portal and could not find a clear answer",housing,medium,email,international,7
MSG-00079,"I cannot access email from my phone after the security update Also, the Canvas page is confusing thx",technical_support,medium,email,undergraduate,6
MSG-00080,"I have a question about student services and could use guidance. Also, the campus page is confusing.",general,low,chat,online,10
MSG-00081,"Hi team, Please let me know where this requestshould go. I already checked the student portal and could not find a clear answer.",general,low,chat,graduate,22
MSG-00082,I need to request housing accommodation documentation review. :/,housing,low,chat,undergraduate,4
MSG-00083,"I uploaded FAFSA documents but the portal still says incomplete. Also, the scholarship page is confusing.",financial_aid,medium,email,undergraduate,23
MSG-00084,I cannot register for ENG 201 because tehre is a hold on my account,registration,medium,web_form,international,21
MSG-00085,I need to request housing accommodation documentation review. not urgent.,housing,low,web_form,graduate,19
MSG-00086,Please let me know where this request should go.,general,low,web_form,graduate,4
MSG-00087,"my roommate assignment changed and i never received an explanation. also, the roommate page is confusing.",housing,high,chat,graduate,20
MSG-00088,The waitlist says open but teh system will notlet me add teh class.,registration,medium,web_form,online,19
MSG-00089,"Hi team, I cannot access email from my phone after the security update. I already checked the student portal and could not find a clear answer.",technical_support,medium,web_form,international,23
MSG-00090,"Hi team, Please let me know where this request should go. Also, the campus page is confusing. when you have time. I already checked the student portal and could not find a clear answer.",general,low,chat,international,6
MSG-00091,"The portal shows an error code when I tryto submit the form. Also, the login page is confusing.",technical_support,medium,chat,international,17
MSG-00092,"Can someone explain why my scholarship disappeared from the bill? Also, the loan page is confusing. just checking.",financial_aid,low,web_form,undergraduate,4
MSG-00093,"Hi team, help I already checked the student portal and could not find a clear answer.",general,low,chat,international,5
MSG-00094,confused about this,housing,medium,email,online,8
MSG-00095,Can you point me to the right office for a campus policy issue?,general,medium,chat,international,13
MSG-00096,"i need help setting up a payment plan before classes start. also, the refund page is confusing. soon.",financial_aid,medium,chat,international,19
MSG-00097,I need approval for an overload because this is my final semester.,academic_advising,high,web_form,online,12
MSG-00098,"Can I talk to someone today about anxiety and missing classes? Also, the urgent care page is confusing.",health_wellness,high,email,graduate,7
MSG-00099,"Hi team, need help asap I already checked the student portal and could not find a clear answer.",financial_aid,high,chat,graduate,9
MSG-00100,"Hi team, I cannot register for HIST 305 because there is a hold on my account. I already checked the student portal and could not find a clear answer.",registration,medium,chat,undergraduate,0
MSG-00101,"Hi team, I need to drop a course before the deadline but the button is missing. I already checked the student portal and could not find a clear answer. pls",registration,medium,web_form,graduate,5
MSG-00102,I want to change majors and need to know the next step. soon.,academic_advising,medium,chat,undergraduate,8
MSG-00103,"My campus login keeps failing even after I reset my password. Also, the portal page is confusing.",technical_support,medium,email,graduate,4
MSG-00104,"hi team, i need approval for an overload because this is my final semester also, the overload page is confusing i already checked the student portal and could not find a clear answer",academic_advising,low,web_form,graduate,18
MSG-00105,need help asap,academic_advising,low,chat,international,0
MSG-00106,"Hi team, My campus login keeps failing even after I reset my password. I already checked the student portal and could not find a clear answer.",technical_support,medium,chat,international,12
MSG-00107,Can I move rooms because the noise is affecting my sleep?!!,housing,high,chat,online,17
MSG-00108,Can I move rooms because the noise is affecting my sleep? :/,housing,low,web_form,undergraduate,7
MSG-00109,The learning platform will not load my quiz and it is due tonight.,technical_support,medium,email,graduate,13
MSG-00110,the waitlist says open but the system will not let me add the class.,registration,low,chat,graduate,7
MSG-00111,my schedule has the wrong lab section and i need it fixed.,registration,medium,chat,online,21
MSG-00112,"hi team, i am not sure which requirement math 220 satisfies for my major. i already checked the student portal and could not find a clear answer.",academic_advising,low,email,graduate,12
MSG-00113,"Hi team, I have a question about student services and could use guidance. Also, the campus page is confusing. I already checked the student portal and could not find a clear answer.",general,medium,chat,undergraduate,18
MSG-00114,"I need an appointment because I have been feeling overwhelmed all week. Also, the health page is confusing. deadline is tonight.",health_wellness,high,web_form,online,14
MSG-00115,Can someone explain why my scholarship disappeared from teh bill?,financial_aid,medium,web_form,graduate,0
MSG-00116,confused about this,registration,medium,email,undergraduate,3
MSG-00117,I need approval for an overload because this is my final semester.,academic_advising,low,email,undergraduate,12
MSG-00118,My roommate assignment changed and I nver received an explanation.,housing,medium,web_form,online,8
MSG-00119,"i uploaded fafsa documents but the portal still says incomplete. also, the payment page is confusing.",financial_aid,low,chat,international,12
MSG-00120,My campus login keeps failing even after I reset my password. pls,technical_support,low,chat,online,7
MSG-00121,"Hi team, Can I move rooms because the noise is affecting my sleep? I already checked the student portal and could not find a clear answer.!!",housing,high,chat,international,8
MSG-00122,"I need help setting up a payment plan before classes star. Also, the FAFSA page is confusing. :/",financial_aid,low,email,graduate,21
MSG-00123,"I need to request housing accommodation documentation review. Also, the dorm page is confusing. not urgent.",housing,low,chat,undergraduate,4
MSG-00124,"I need to drop a course before the deadline but the button is missing. Also, the drop page is confusing.",registration,high,chat,international,9
MSG-00125,"Hi team, The learning platform will not load my quiz and it is due in two days. I already checked the student portal and could not find a clear answer. thx",technical_support,medium,email,online,9
MSG-00126,"I am worried about a student who said they might hurt themselves. Also, the urgent care page is confusing. not urgent.",health_wellness,low,web_form,online,17
MSG-00127,My aid package still has not posted and tuition is due tonight deadline is tonight,financial_aid,high,chat,graduate,16
MSG-00128,The learning platform will not load my quiz and it is due this week.???,technical_support,medium,chat,online,6
MSG-00129,confused about this,academic_advising,low,email,international,17
MSG-00130,can i move rooms because the noise is affecting my sleep?,housing,low,web_form,undergraduate,18
MSG-00131,"Can someone explain why my scholarship disappeared from the bill? Also, the bill page is confusing. pls",financial_aid,high,web_form,graduate,21
MSG-00132,"Hi team, My campus login keeps failing even after I reset my password. Also, the login page is confusing. next week is fine. I already checked the student portal and could not find a clear answer.",technical_support,low,web_form,graduate,17
MSG-00133,Can someone explain why my scholarship disappeared from the bill? when you have time.,financial_aid,low,chat,online,5
MSG-00134,can someone explain why my scholarship disappeared from the bill? next week is fine. :/,financial_aid,low,chat,undergraduate,23
MSG-00135,Can I move rooms because the noise is affecting my sleep?,housing,low,web_form,international,22
MSG-00136,Can an advisor check whether I am on track to graduate?,academic_advising,low,web_form,undergraduate,4
MSG-00137,"Hi, I am not sure who to contact about this question. Also, the office page is confusing.",general,medium,email,undergraduate,12
MSG-00138,"I need approval for an overload because this is my final semester. Also, the credits page is confusing. :/",academic_advising,low,chat,graduate,15
MSG-00139,"Hi team, I need to drop a course before the dadline but the button is missing. I already checked the student portal and could not find a clear answer. thx",registration,high,web_form,graduate,20
MSG-00140,I need to drop a course before the deadline but the button is missing.,registration,high,email,graduate,15
MSG-00141,"i need help settin up a payment plan before classes start. also, the payment page is confusing.",financial_aid,medium,chat,graduate,20
MSG-00142,"hi, i am not sure who to contact about this question.!!",general,low,chat,international,13
MSG-00143,I need to drop a course before the deadline but the button is missing.,registration,low,web_form,undergraduate,7
MSG-00144,I want to change majors and need to know the next step. when you have time.,academic_advising,low,email,undergraduate,0
MSG-00145,I cannot register for CS 150 because there is a hold on my account. just checking.,registration,low,web_form,international,12
MSG-00146,help,academic_advising,medium,email,online,11
MSG-00147,i need approval for an overload because this is my final semester. before friday.,academic_advising,medium,email,online,14
MSG-00148,"Can anadvisor check whether I am on track to graduate? Also, the overload page is confusing.",academic_advising,low,email,graduate,1
MSG-00149,I want to change majors and need to know teh next step.,academic_advising,high,email,online,9
MSG-00150,"I need an appointment because I have been feeling overwhelmed all week. Also, the anxiety page is confusing.",health_wellness,medium,web_form,graduate,4
MSG-00151,"Can someone explain why my scholarship disappeared from the bill? Also, the loan page is confusing.",financial_aid,medium,email,international,2
MSG-00152,"I need help setting up a payment plan before classes start. Also, the refund page is confsing. just checking.",financial_aid,low,chat,online,22
MSG-00153,"Hi team, help I already checked the student portal and could not find a clear answer.",health_wellness,medium,chat,online,8
MSG-00154,I tested positive and need to know what to o about attendance not urgent,health_wellness,low,chat,online,17
MSG-00155,"Hi team, The portal shows an error code when I try to submit the form. Also, the login page is confusing. I already checked the student portal and could not find a clear answer. :/",technical_support,low,email,undergraduate,2
MSG-00156,The waitlist says open but the system will not let me add the class. soon.,registration,medium,email,international,8
MSG-00157,"Hi team, There is no hot water in my dorm and the work order is still pending. I already checked the student portal and could not find a clear answer.",housing,low,email,online,22
MSG-00158,"Can I move rooms because the noise is affecting my sleep? Also, te meal plan page is confusing.",housing,low,email,undergraduate,7
MSG-00159,My campus login keeps failing even after I reset my password. next week is fine.,technical_support,low,web_form,graduate,18
MSG-00160,"Hi team, Please let me know where this request should go. Also, the help page is confusing. before Friday. I already checked the student portal and could not find a clear answer.",general,medium,email,international,1
MSG-00161,Can someone explain why my scholarship disappeared from the bill?,financial_aid,medium,chat,international,5
MSG-00162,"Hi team, I cannot access email from my phone after the security update. I already checked the student portal and could not find a clear answer.",technical_support,medium,email,international,19
MSG-00163,"My schedule has the wrong lab section and I need it fixed Also, the waitlist page is confusing",registration,medium,email,graduate,22
MSG-00164,My aid package still has not posted and tuition is due tomorrow.,financial_aid,low,web_form,graduate,5
MSG-00165,My roommate assignment changed and I never received an explanation. today if possible. :/,housing,medium,chat,undergraduate,13
MSG-00166,"Please let me know where this request should go Also, the campus page is confusing when you have time",general,low,web_form,online,4
MSG-00167,"Hi team, My aid package still has not posted and tuition is due in two days. Also, the FAFSA page is confusing. not urgent. I already checked the student portal and could not find a clear answer.",financial_aid,low,email,online,5
MSG-00168,"hi team, there is no hot water in my dorm and the work order is still pending. next week is fine. i already checked the student portal and could not find a clear answer.",housing,low,web_form,graduate,17
MSG-00169,"Hi team, I need help setting up a payment plan before classes start. Also, the bill page is confusing. I already checked the student portal and could not find a clear answer.",financial_aid,medium,chat,graduate,5
MSG-00170,Can you point me to the right office for a campus policy issue? thx,general,medium,web_form,international,8
MSG-00171,"i am not sure which requirement hist 305 satisfies for my major. also, teh graduation page is confusing.",academic_advising,high,chat,online,8
MSG-00172,"Hi team, Can I move rooms because the noise is affecting my sleep? Also, the residence page is confusing. I already checked the student portal and could not find a clear answer.",housing,low,chat,undergraduate,10
MSG-00173,"i tested positive and need to know what to do about attendance. also, the health page is confusing.",health_wellness,medium,chat,online,16
MSG-00174,"Hi team, Can I talk to someone today about anxiety and missing classes? Also, the sick page is confusing. I already checked the student portal and could not find a clear answer.",health_wellness,high,chat,graduate,8
MSG-00175,can i move rooms because the noise is affecting my sleep?,housing,low,web_form,undergraduate,9
MSG-00176,can someone explain why my scholarship disappeared from the bill?,financial_aid,low,email,international,19
MSG-00177,"I tested positive and need to know what to do about attendance. Also, he sick page is confusing.",health_wellness,medium,web_form,international,9
MSG-00178,"hi team, i cannot access email from my phone after the security update. i already checked the student portal and could not find a clear answer.",technical_support,medium,chat,international,21
MSG-00179,I need help setting up a payment plan before classes start. just checking.,financial_aid,low,web_form,international,16
MSG-00180,The waitlist says open but the system will not let me add the class.,registration,low,chat,online,10
MSG-00181,Can I move rooms because the noise is affecting y sleep?,housing,medium,email,graduate,6
MSG-00182,"Can I move rooms because the noise is affecting my sleep? Also, the work order page is confusing.",housing,high,chat,undergraduate,4
MSG-00183,"Hi team, I want to change majors and need to know the next step. Also, the advisor page is confusing. I am stuck. I already checked the student portal and could not find a clear answer.",academic_advising,medium,email,graduate,22
MSG-00184,"Hi, I am not sure who to contact about this question.",general,low,chat,international,6
MSG-00185,"Hi team, need help asap I already checked the student portal and could not find a clear answer.",financial_aid,high,web_form,undergraduate,19
MSG-00186,"Hi team, Hi, I am not sure who to contact about this question. I already checked the student portal and could not find a clear answer.",general,medium,chat,graduate,13
MSG-00187,"I need an appointment because I have been feeling overwhelmed all week. Also, the sick page is confusing. when you have time. thx",health_wellness,low,web_form,online,10
MSG-00188,I cannot register for BIO 101 because there is a hold on my account not urgent,registration,low,email,undergraduate,9
MSG-00189,Can I move rooms bc the noise is affecting my sleep? soon.,housing,medium,chat,international,5
MSG-00190,"Hi team, I need help setting up a payment plan before classes start. I already checked the student portal and could not find a clear answer. :/",financial_aid,medium,web_form,online,5
MSG-00191,confused about this,academic_advising,medium,web_form,international,16
MSG-00192,i am not sure which requirement cs 150 satisfies for my major.,academic_advising,medium,chat,online,5
MSG-00193,"Can someone explain why my scholarship disappeared from the bill? Also, the scholarship page is confusing.",financial_aid,medium,email,online,23
MSG-00194,The portal shows an error code when I try to submit the form,technical_support,low,email,online,10
MSG-00195,confused about this,academic_advising,medium,email,online,4
MSG-00196,"i am worried about a student who said they might hurt themselves. also, the health page is confusing.",health_wellness,high,web_form,undergraduate,14
MSG-00197,There is no hot water in my dorm and the work order is still pending.,housing,medium,chat,international,16
MSG-00198,Can you point me to the right office for a campus policy issue? next week is fine.,general,low,web_form,graduate,6
MSG-00199,I need to drop a course before the deadline but the button is missing.,registration,medium,web_form,international,13
MSG-00200,"i need an appointment because i have been feeling overwhelmed all week. also, the urgent care page is confusing. soon.",health_wellness,medium,web_form,undergraduate,11
MSG-00201,Can I talk to someone today about anxiety and missing classes?,health_wellness,low,web_form,undergraduate,0
MSG-00202,the portal shows an error code when i try to submit the form. not urgent. pls,technical_support,low,email,graduate,18
MSG-00203,I am worried about a student who said they might hurt themselves,health_wellness,low,web_form,international,16
MSG-00204,I cannot register for CHEM 110 because there is a hold on my account. just checking.,registration,low,web_form,undergraduate,3
MSG-00205,The learning platform will not load my quiz and it is due this week.,technical_support,medium,email,international,20
MSG-00206,I cannot register for MATH 220 because there is a hold on my account.,registration,medium,email,graduate,0
MSG-00207,"My roommate assignment changed and I never received an explanation. Also, the work order page is confusing. not urgent.",housing,low,email,undergraduate,20
MSG-00208,"Hi team, My campus login keeps failing even after I reset my password. Also, the Canvas page is confusing. I already checked the student portal and could not find a clear answer.",technical_support,low,web_form,graduate,4
MSG-00209,i cannot access email from my phone afte the security update. :/,technical_support,medium,web_form,undergraduate,9
MSG-00210,"hi team, i need to drop a course before the deadline but the button is missing. also, the waitlist page is confusing. i already checked the student portal and could not find a clear answer.",registration,medium,web_form,online,20
MSG-00211,i am not sure which requirement eng 201 satisfies for my major.,academic_advising,low,chat,international,22
MSG-00212,"I need approval for an overload because this is my final semester. Also, the advisor page is confusing.",academic_advising,medium,chat,international,9
MSG-00213,I am not sure which requirement ENG 201 satisfies for my major.,academic_advising,low,email,undergraduate,17
MSG-00214,"My schedule has the wrong lab section and I need it fixed. Also, the drop page is confusing.",registration,high,web_form,graduate,16
MSG-00215,confused about this,financial_aid,low,email,undergraduate,20
MSG-00216,I need to drop a course before the deadline but the button is missing.,registration,medium,chat,online,15
MSG-00217,"Hi team, Can you point me to the right office for a campus policy issue? I already checked the student portal and could not find a clear answer.",general,low,email,online,21
MSG-00218,"can an advisor check whether i am on track to graduate? also, the major page is confusing.",academic_advising,low,chat,undergraduate,23
MSG-00219,My campus login keeps failing even after I reset my password. please call me ASAP.,technical_support,high,web_form,international,14
MSG-00220,"I want to change majors and need to know teh next step. Also, teh advisor page is confusing.",academic_advising,low,web_form,undergraduate,2
MSG-00221,I am not sure which requirement HIST 305 satisfies for my major.,academic_advising,low,web_form,undergraduate,13
MSG-00222,"Can someone explain why my scholarship disappeared from teh bill? Also, teh loan page is confusing.",financial_aid,medium,email,graduate,13
MSG-00223,The portal shows an error code when I try to submit the form. next week is fine.,technical_support,low,web_form,online,23
MSG-00224,My aid package still has not posted and tuition is due tonight. I might lose access.,financial_aid,high,web_form,undergraduate,2
MSG-00225,I am worried about a student who said they might hurt themselves,health_wellness,medium,email,online,14
MSG-00226,"hi team, i uploaded fafsa documents but the prtal still says incomplete. please call me asap. i already checked the student portal and could not find a clear answer.",financial_aid,high,web_form,online,12
MSG-00227,"Hi team, I am not sure which requirement BIO 101 satisfies for my major. next week is fine. I already checked the student portal and could not find a clear answer.",academic_advising,low,email,international,10
MSG-00228,I have a question about student services and could use guidance.!!,general,medium,chat,graduate,21
MSG-00229,"The portal shows an error code when I try to submit the form. Also, the password page is confusing.",technical_support,high,email,graduate,15
MSG-00230,The learning platform will not load my quiz and it is due tonight.,technical_support,low,web_form,undergraduate,15
MSG-00231,"I need to request housing accommodation documentation review. Also, the residence page is confusing.",housing,low,email,online,10
MSG-00232,The learning platform will not load my quiz and it is due tomorrow. next week is fine.,technical_support,low,web_form,international,11
MSG-00233,"Can I talk to someone today about anxiety and missing classes? Also, the safety page is confusing. before Friday.!!",health_wellness,medium,chat,graduate,20
MSG-00234,"I want to change majors and need to know the net step. Also, the graduation page is confusing. soon.",academic_advising,medium,chat,international,0
MSG-00235,"There is no hot water in my dorm and the work order is still pending. Also, the meal plan page is confusing.???",housing,low,chat,online,20
MSG-00236,"I am not sure which requirement BIO 101 satisfies for my major. Also, the major page is confusing.",academic_advising,low,web_form,online,13
MSG-00237,"hi team, can someone explain why my scholarship disappeared from the bill? deadline is tonight. i already checked the student portal and could not find a clear answer.",financial_aid,high,email,undergraduate,8
MSG-00238,"I want to change majors and need to know the next step. Also, the requirement page is confusing.",academic_advising,low,web_form,international,17
MSG-00239,There is no hot water in my dorm and the work order is still pending.,housing,high,chat,undergraduate,0
MSG-00240,"Can an advisor check whether I am on track to graduate? Also, the credits page is confusing.",academic_advising,medium,email,online,17
MSG-00241,Can I move rooms because the noise is affecting my sleep? next week is fine.,housing,low,chat,graduate,2
MSG-00242,help,registration,low,email,graduate,0
MSG-00243,I need approval for an overload becuse this is my final semester.,academic_advising,low,chat,undergraduate,3
MSG-00244,Please let me know where this request should go.,general,medium,email,undergraduate,8
MSG-00245,I need pproval for an overload because this is my final semester.,academic_advising,low,email,international,2
MSG-00246,"Hi team, I need to drop a course before the deadline but the button is missing. I already checked the student portal and could not find a clear answer.",registration,medium,chat,graduate,0
MSG-00247,"Hi team, The learning platform will not load my quiz and it is due tomorrow. I already checked the student portal and could not find a clear answer.",technical_support,medium,web_form,graduate,2
MSG-00248,I need approval for an overload because this is my final semester,academic_advising,low,web_form,online,6
MSG-00249,"Hi team, Can an advisor check whether I am on track to graduate? next week is fine. I already checked the student portal and could not find a clear answer.",academic_advising,low,email,undergraduate,18
MSG-00250,need help asap,technical_support,medium,web_form,online,11
MSG-00251,"Hi team, I tested positive and need to know what to do about attendance. Also, the safety page is confusing. I already checked the student portal and could not find a clear answer.",health_wellness,low,web_form,graduate,17
MSG-00252,"hi team, my campus login keeps failing even after i reset my password. i already checked the student portal and could not find a clear answer.",technical_support,medium,chat,international,17
MSG-00253,"I have a question about student services and could use guidance Also, the policy page is confusing",general,low,email,international,19
MSG-00254,I uploaded FAFSA documents but the portal still says incomplete. not urgent.,financial_aid,low,email,online,11
MSG-00255,"Hi team, Can someone explain why my scholarship disappeared from the bill? I already checked the student portal and could not find a clear answer.",financial_aid,low,email,international,1
MSG-00256,My campus login keeps failing even after I reset my password.,technical_support,medium,email,international,16
MSG-00257,Can someone explain why my scholrship disappeared from the bill?,financial_aid,medium,email,online,18
MSG-00258,"Hi team, I cannot access email from my phone after the security update. I already checked the student portal and could not find a clear answer.",technical_support,medium,email,undergraduate,8
MSG-00259,"Hi team, I need an appointment because I have been feeling overwhelmed all week. Also, the anxiety page is confusing. I already checked the student portal and could not find a clear answer.",health_wellness,medium,email,online,1
MSG-00260,"I have a question about student services and could use guidance. Also, the services page is cnfusing.",general,low,chat,graduate,23
MSG-00261,I need approval for an overloa because this is my final semester not urgent,academic_advising,low,web_form,undergraduate,2
MSG-00262,I need to request housing accommodation documentation review,housing,low,email,online,17
MSG-00263,Can you point me to the right office for a campus policy issue? next week is fine.,general,low,web_form,international,12
MSG-00264,"Hi, I am not sure who to contact about this question. Also, the office page is confusing.",general,medium,web_form,graduate,13
MSG-00265,"I have a question about student services and could use guidance. Also, the services page is confusing.???",general,high,web_form,graduate,10
MSG-00266,"My aid package still has not posted and tuition is due this week. Also, the refund page is confusing.",financial_aid,medium,email,graduate,3
MSG-00267,I uploaded FAFSA documents but the portal still says incomplete.,financial_aid,low,chat,online,4
MSG-00268,"Hi team, I need help setting up a payment plan before classes start. I already checked the student portal and could not find a clear answer.",financial_aid,low,chat,graduate,13
MSG-00269,Can I move ooms because the noise is affecting my sleep?,housing,low,email,online,23
MSG-00270,"Hi team, My aid package still has not posted and tuition is due this week. I already checked the student portal and could not find a clear answer.",financial_aid,medium,web_form,online,2
MSG-00271,"The learning platform will not load my quiz an it is due in two days. Also, the MFA page is confusing.",technical_support,low,web_form,undergraduate,2
MSG-00272,i uploaded fafsa documents but the portal still says incomplete. before friday.!!,financial_aid,medium,chat,online,9
